Y,X,fid,id,vertex_index,,,line creation:
-36.1936033,149.6365191,1,1,0,,,"""=""lat_fire_start(""&D3&"",""&E3&"")=""&A3&"",lon_fire_start(""&D3&"",""&E3&"")=""&B3&"","""""
-36.19988021,149.5913824,2,1,19,,"lat_fire_start(1,19)=-36.1998802071745,lon_fire_start(1,19)=149.591382424449,","TO ADD NEWLINES IN VIM: /,lon     and     :%s//,\rlon/gc       searches for ,lon and then replaces globally (with confirmation) with ,<newline>lon"
-36.1891524,149.5695844,3,1,18,,"lat_fire_start(1,18)=-36.1891523996045,lon_fire_start(1,18)=149.569584432471,",
-36.1994237,149.5344337,4,1,17,,"lat_fire_start(1,17)=-36.1994237047247,lon_fire_start(1,17)=149.534433743838,",
-36.18390262,149.5090979,5,1,16,,"lat_fire_start(1,16)=-36.1839026214319,lon_fire_start(1,16)=149.509097857875,",
-36.17420194,149.4887835,6,1,15,,"lat_fire_start(1,15)=-36.1742019443739,lon_fire_start(1,15)=149.488783498859,",
-36.14666914,149.4670283,7,1,14,,"lat_fire_start(1,14)=-36.1466691403711,lon_fire_start(1,14)=149.467028303986,",
-36.14440089,149.46986,8,1,13,,"lat_fire_start(1,13)=-36.1444008938237,lon_fire_start(1,13)=149.469860045745,",
-36.12525989,149.4545565,9,1,12,,"lat_fire_start(1,12)=-36.1252598887611,lon_fire_start(1,12)=149.454556514401,",
-36.1192469,149.4748851,10,1,11,,"lat_fire_start(1,11)=-36.1192468955553,lon_fire_start(1,11)=149.474885139118,",
-36.12986058,149.5043295,11,1,10,,"lat_fire_start(1,10)=-36.1298605775129,lon_fire_start(1,10)=149.504329547129,",
-36.11821977,149.5083239,12,1,9,,"lat_fire_start(1,9)=-36.1182197650433,lon_fire_start(1,9)=149.508323943565,",
-36.13784937,149.572006,13,1,8,,"lat_fire_start(1,8)=-36.1378493703842,lon_fire_start(1,8)=149.572006035311,",
-36.10356889,149.5864715,14,1,7,,"lat_fire_start(1,7)=-36.1035688895454,lon_fire_start(1,7)=149.586471456688,",
-36.09932128,149.603922,15,1,6,,"lat_fire_start(1,6)=-36.0993212769072,lon_fire_start(1,6)=149.603921976116,",CLOCKWISE IF READ FORWARDS
-36.10413952,149.6206235,16,1,5,,"lat_fire_start(1,5)=-36.1041395176077,lon_fire_start(1,5)=149.620623546213,",
-36.12187535,149.6424822,17,1,4,,"lat_fire_start(1,4)=-36.121875351067,lon_fire_start(1,4)=149.642482167422,",
-36.13744993,149.6492548,18,1,3,,"lat_fire_start(1,3)=-36.1374499307406,lon_fire_start(1,3)=149.649254809236,",East most point
-36.17418381,149.6472861,19,1,2,,"lat_fire_start(1,2)=-36.1741838057573,lon_fire_start(1,2)=149.647286086695,",Next point in clockwise order
-36.1936033,149.6365191,20,1,1,,"lat_fire_start(1,1)=-36.1936032984899,lon_fire_start(1,1)=149.636519104171,",
,,,,,,,
-36.20472388,149.5677617,21,2,0,,,
-36.20620067,149.5678672,22,2,18,,"lat_fire_start(2,18)=-36.2062006748048,lon_fire_start(2,18)=149.567867188501,",
-36.20577873,149.568922,23,2,17,,"lat_fire_start(2,17)=-36.2057787346736,lon_fire_start(2,17)=149.568922039389,",
-36.20800886,149.5706876,24,2,16,,"lat_fire_start(2,16)=-36.2080088619159,lon_fire_start(2,16)=149.570687555716,",
-36.21375164,149.5836088,25,2,15,,"lat_fire_start(2,15)=-36.2137516422907,lon_fire_start(2,15)=149.583608809878,",
-36.21800625,149.5871543,26,2,14,,"lat_fire_start(2,14)=-36.2180062485124,lon_fire_start(2,14)=149.587154315997,",CLOCKWISE IF READ FORWARDS
-36.22481362,149.5899907,27,2,13,,"lat_fire_start(2,13)=-36.2248136180189,lon_fire_start(2,13)=149.58999071865,",
-36.2282173,149.5867289,28,2,12,,"lat_fire_start(2,12)=-36.2282173027722,lon_fire_start(2,12)=149.586728855262,",
-36.23233009,149.5838925,29,2,11,,"lat_fire_start(2,11)=-36.2323300887491,lon_fire_start(2,11)=149.583892451488,",
-36.23332283,149.5853107,30,2,10,,"lat_fire_start(2,10)=-36.2333228304623,lon_fire_start(2,10)=149.585310652815,",
-36.23403193,149.5846016,31,2,9,,"lat_fire_start(2,9)=-36.2340319305655,lon_fire_start(2,9)=149.584601551591,",
-36.23147917,149.5809142,32,2,8,,"lat_fire_start(2,8)=-36.2314791672807,lon_fire_start(2,8)=149.580914226349,",
-36.2282173,149.5766596,33,2,7,,"lat_fire_start(2,7)=-36.2282173027722,lon_fire_start(2,7)=149.576659621247,",
-36.21970809,149.5721214,34,2,6,,"lat_fire_start(2,6)=-36.2197080914493,lon_fire_start(2,6)=149.572121373416,",
-36.2147335,149.5690688,35,2,5,,"lat_fire_start(2,5)=-36.2147334994914,lon_fire_start(2,5)=149.56906878422,",
-36.21421755,149.5677617,36,2,4,,"lat_fire_start(2,4)=-36.2142175462608,lon_fire_start(2,4)=149.567761701507,",
-36.21210784,149.5631204,37,2,3,,"lat_fire_start(2,3)=-36.2121078444845,lon_fire_start(2,3)=149.563120355583,",
-36.20757198,149.5632258,38,2,2,,"lat_fire_start(2,2)=-36.2075719833124,lon_fire_start(2,2)=149.563225841456,",
-36.20472388,149.5677617,39,2,1,,"lat_fire_start(2,1)=-36.204723882665,lon_fire_start(2,1)=149.567761702628,",
,,,,,,,
-36.27133065,149.6064419,40,3,0,,,
-36.27345795,149.6027545,41,3,9,,"lat_fire_start(3,9)=-36.2734579485186,lon_fire_start(3,9)=149.602754538436,",
-36.27246521,149.6002018,42,3,8,,"lat_fire_start(3,8)=-36.2724652068055,lon_fire_start(3,8)=149.600201775151,",CLOCKWISE IF READ FORWARDS
-36.26792696,149.5970817,43,3,7,,"lat_fire_start(3,7)=-36.2679269600943,lon_fire_start(3,7)=149.597081730887,",
-36.2646651,149.588998,44,3,6,,"lat_fire_start(3,6)=-36.2646650955858,lon_fire_start(3,6)=149.588997979178,",
-36.25927593,149.5881471,45,3,5,,"lat_fire_start(3,5)=-36.2592759285267,lon_fire_start(3,5)=149.588147056589,",
-36.24807213,149.5872961,46,3,4,,"lat_fire_start(3,4)=-36.2480721325537,lon_fire_start(3,4)=149.587296136241,",
-36.2548795,149.6019036,47,3,3,,"lat_fire_start(3,3)=-36.2548795020602,lon_fire_start(3,3)=149.601903616968,",
-36.26551602,149.6064419,48,3,2,,"lat_fire_start(3,2)=-36.2655160170542,lon_fire_start(3,2)=149.606441863679,",
-36.27133065,149.6064419,49,3,1,,"lat_fire_start(3,1)=-36.271330645968,lon_fire_start(3,1)=149.606441863679,",
